State,District
Tamil Nadu,Madurai
Tamil Nadu,Chennai
Tamil Nadu,Salem
Tamil Nadu,Coimbatore
Tamil Nadu,Trichy
Tamil Nadu,Tirunelveli
Tamil Nadu,Vellore
Maharashtra,Nashik
Maharashtra,Pune
Maharashtra,Nagpur
Maharashtra,Mumbai
Maharashtra,Aurangabad
Maharashtra,Kolhapur
Maharashtra,Solapur
Karnataka,Bangalore
Karnataka,Mysore
Karnataka,Tumkur
Karnataka,Hubli
Karnataka,Belgaum
Karnataka,Mangalore
Karnataka,Bagalkot
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,Vijayawada
Andhra Pradesh,Guntur
Andhra Pradesh,Tirupati
Andhra Pradesh,Rajahmundry
Andhra Pradesh,Kakinada
Uttar Pradesh,Lucknow
Uttar Pradesh,Kanpur
Uttar Pradesh,Agra
Uttar Pradesh,Varanasi
Uttar Pradesh,Meerut
Uttar Pradesh,Ghaziabad
Uttar Pradesh,Noida
Gujarat,Ahmedabad
Gujarat,Surat
Gujarat,Vadodara
Gujarat,Rajkot
Gujarat,Bhavnagar
Gujarat,Gandhinagar
Gujarat,Jamnagar
West Bengal,Kolkata
West Bengal,Howrah
West Bengal,Siliguri
West Bengal,Asansol
West Bengal,Durgapur
West Bengal,Medinipur
West Bengal,Kolar
Rajasthan,Jaipur
Rajasthan,Udaipur
Rajasthan,Jodhpur
Rajasthan,Ajmer
Rajasthan,Bikaner
Rajasthan,Kota
Rajasthan,Alwar
Bihar,Patna
Bihar,Gaya
Bihar,Bhagalpur
Bihar,Muzaffarpur
Bihar,Madhubani
Bihar,Purnia
Bihar,Saharsa
Madhya Pradesh,Bhopal
Madhya Pradesh,Indore
Madhya Pradesh,Gwalior
Madhya Pradesh,Jabalpur
Madhya Pradesh,Ujjain
Madhya Pradesh,Sagar
Madhya Pradesh,Khandwa
Kerala,Thiruvananthapuram
Kerala,Kochi
Kerala,Kozhikode
Kerala,Kollam
Kerala,Palakkad
Kerala,Thrissur
Kerala,Malappuram
Haryana,Chandigarh
Haryana,Gurgaon
Haryana,Faridabad
Haryana,Ambala
Haryana,Karnal
Haryana,Panipat
Haryana,Hisar
Delhi,New Delhi
Delhi,North Delhi
Delhi,South Delhi
Delhi,West Delhi
Delhi,East Delhi
Delhi,Central Delhi
